Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Sales_Bins
Farming Simulator 17,PS4,2016.0,Simulation,Focus Home Interactive,0.05,0.31,0.0,0.06,0.41,Muy Alto
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.41,Muy Alto
Castlevania: The Dracula X Chronicles,PSP,2007.0,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07,0.41,Muy Alto
Mobile Suit Gundam,SAT,1995.0,Action,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,Muy Alto
Tom Clancy's HAWX 2,PS3,2010.0,Action,Ubisoft,0.21,0.12,0.03,0.05,0.41,Muy Alto
Battlefield: Hardline,PS3,2015.0,Shooter,Electronic Arts,0.13,0.15,0.07,0.06,0.41,Muy Alto
Jimmy Neutron: Boy Genius,PS2,2002.0,Platform,THQ,0.2,0.16,0.0,0.05,0.41,Muy Alto
Itadaki Street DS,DS,2007.0,Misc,Square Enix,0.0,0.0,0.41,0.0,0.41,Muy Alto
X-Men: The Official Game,PS2,2006.0,Action,Activision,0.2,0.16,0.0,0.05,0.41,Muy Alto
Terraria,PS3,2013.0,Action,505 Games,0.07,0.2,0.09,0.05,0.41,Muy Alto
LEGO Dimensions,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.22,0.15,0.0,0.04,0.41,Muy Alto
Football Manager Handheld 2011,PSP,2010.0,Sports,Sega,0.0,0.27,0.0,0.14,0.41,Muy Alto
300: March to Glory,PSP,2007.0,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.07,0.41,Muy Alto
Marvel Super Hero Squad,DS,2009.0,Fighting,THQ,0.36,0.02,0.0,0.03,0.41,Muy Alto
Call of Duty: Modern Warfare: Mobilized,DS,2009.0,Shooter,Activision,0.36,0.02,0.0,0.03,0.41,Muy Alto
NHL 15,XOne,2014.0,Sports,Electronic Arts,0.31,0.06,0.0,0.04,0.41,Muy Alto
E0: Enemy Zero,SAT,1996.0,Adventure,Sega,0.0,0.0,0.41,0.0,0.41,Muy Alto
Tom Clancy's The Division,PC,2016.0,Shooter,Ubisoft,0.22,0.15,0.0,0.04,0.41,Muy Alto
Yu-Gi-Oh! GX: Tag Force 2,PSP,2007.0,Strategy,Konami Digital Entertainment,0.03,0.19,0.1,0.1,0.41,Muy Alto
Nicktoons: Unite!,PS2,2005.0,Adventure,THQ,0.34,0.01,0.0,0.06,0.41,Muy Alto
JumpStart: Escape from Adventure Island,Wii,2009.0,Adventure,Knowledge Adventure,0.38,0.0,0.0,0.03,0.41,Muy Alto
Green Day: Rock Band,PS3,2010.0,Misc,MTV Games,0.19,0.15,0.0,0.06,0.41,Muy Alto
NASCAR Racing,PS,1996.0,Racing,Pioneer LDC,0.23,0.16,0.0,0.03,0.41,Muy Alto
FIFA 14,PSV,2013.0,Sports,Electronic Arts,0.08,0.23,0.01,0.09,0.41,Muy Alto
Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,2009.0,Misc,Hudson Soft,0.0,0.0,0.41,0.0,0.41,Muy Alto
Cars: Race-O-Rama,PSP,2009.0,Racing,THQ,0.29,0.07,0.0,0.06,0.41,Muy Alto
Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.41,0.0,0.41,Muy Alto
F1 2014,PS3,2014.0,Racing,Codemasters,0.07,0.26,0.02,0.06,0.41,Muy Alto
Command & Conquer: Red Alert,PS,1997.0,Strategy,Virgin Interactive,0.23,0.16,0.0,0.03,0.41,Muy Alto
Cars: Mater-National Championship,PS3,2007.0,Racing,THQ,0.37,0.01,0.0,0.03,0.41,Muy Alto
Call of Duty: Black Ops II,WiiU,2012.0,Shooter,Activision,0.2,0.18,0.0,0.03,0.41,Muy Alto
Ogre Battle 64: Person of Lordly Caliber,N64,1999.0,Role-Playing,Nintendo,0.1,0.02,0.25,0.04,0.41,Muy Alto
Superman: The New Superman Adventures,N64,1999.0,Action,Titus,0.33,0.07,0.0,0.0,0.41,Muy Alto
Dig Dug,NES,1985.0,Puzzle,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,Muy Alto
BioShock,PC,2007.0,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41,Muy Alto
The Terminator: Dawn of Fate,PS2,2002.0,Action,Atari,0.2,0.16,0.0,0.05,0.41,Muy Alto
Rogue Galaxy: Director's Cut,PS2,2007.0,Role-Playing,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,Muy Alto
Armored Core,PS,1997.0,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41,Muy Alto
The Smurfs,DS,2011.0,Action,Ubisoft,0.23,0.14,0.0,0.04,0.41,Muy Alto
Densha De Go! 2,PS,1999.0,Simulation,Taito,0.0,0.0,0.38,0.03,0.41,Muy Alto
Medal of Honor Heroes 2,Wii,2007.0,Shooter,Electronic Arts,0.33,0.04,0.01,0.03,0.41,Muy Alto
Top Spin 4,X360,2011.0,Sports,Take-Two Interactive,0.15,0.22,0.0,0.04,0.41,Muy Alto
James Patterson Women's Murder Club: Games of Passion,DS,2009.0,Adventure,THQ,0.15,0.22,0.0,0.05,0.41,Muy Alto
Band Hero,PS2,2009.0,Misc,Activision,0.15,0.06,0.0,0.2,0.41,Muy Alto
Armored Core 2: Another Age,PS2,2001.0,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41,Muy Alto
Buzz! Junior: Jungle Party,PS2,2006.0,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,Muy Alto
God Eater 2: Rage Burst,PSV,2015.0,Role-Playing,Namco Bandai Games,0.0,0.03,0.37,0.01,0.41,Muy Alto
Mortal Kombat: Deadly Alliance,GC,2002.0,Fighting,Midway Games,0.31,0.08,0.0,0.01,0.41,Muy Alto
NBA 2K11,PS2,2010.0,Action,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41,Muy Alto
AKB1/48: Idol to Koishitara...,PSP,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,Muy Alto
Pro Pinball,PS,1996.0,Misc,Empire Interactive,0.23,0.15,0.0,0.03,0.41,Muy Alto
NiGHTS: Journey of Dreams,Wii,2007.0,Platform,Sega,0.32,0.02,0.04,0.03,0.41,Muy Alto
'98 Koshien,PS,1998.0,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,Muy Alto
Harvest Moon: Grand Bazaar,DS,2008.0,Simulation,Rising Star Games,0.21,0.05,0.13,0.02,0.41,Muy Alto
NBA 2K9,PS2,2008.0,Sports,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41,Muy Alto
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001.0,Misc,Konami Digital Entertainment,0.0,0.0,0.4,0.01,0.41,Muy Alto
Up,PSP,2009.0,Action,THQ,0.24,0.09,0.0,0.07,0.41,Muy Alto
Hatsune Miku: Project Diva 2nd,PSP,2010.0,Misc,Sega,0.0,0.0,0.41,0.0,0.41,Muy Alto
Marvel: Ultimate Alliance 2,PS2,2009.0,Role-Playing,Activision,0.23,0.02,0.0,0.16,0.41,Muy Alto
Monster Jam: Urban Assault,Wii,2008.0,Racing,Activision,0.38,0.0,0.0,0.03,0.41,Muy Alto
Call of Duty: Advanced Warfare,PC,2014.0,Shooter,Activision,0.15,0.23,0.0,0.03,0.41,Muy Alto
Mario no Super Picross,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.41,0.0,0.41,Muy Alto
UEFA Euro 2008 Austria-Switzerland,PS3,2008.0,Sports,Electronic Arts,0.08,0.26,0.0,0.06,0.41,Muy Alto
"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005.0,Platform,Midway Games,0.34,0.01,0.0,0.06,0.41,Muy Alto
Jikkyou Powerful Pro Yakuu '94,SNES,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,0.41,0.0,0.41,Muy Alto
Disney's Tarzan Untamed,PS2,2001.0,Platform,Ubisoft,0.2,0.16,0.0,0.05,0.41,Muy Alto
WWE All Stars,PS3,2011.0,Fighting,THQ,0.16,0.18,0.0,0.07,0.41,Muy Alto
Green Day: Rock Band,X360,2010.0,Misc,MTV Games,0.24,0.13,0.0,0.04,0.41,Muy Alto
Harry Potter and the Deathly Hallows - Part 1,DS,2010.0,Action,Electronic Arts,0.19,0.18,0.0,0.04,0.41,Muy Alto
Resistance: Burning Skies,PSV,2012.0,Shooter,Sony Computer Entertainment,0.18,0.15,0.02,0.06,0.41,Muy Alto
Battlefield 2: Modern Combat,X360,2006.0,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41,Muy Alto
Rocksmith 2014,XOne,2014.0,Misc,Ubisoft,0.29,0.08,0.0,0.04,0.41,Muy Alto
Knockout Kings 2001,PS,2000.0,Fighting,Electronic Arts,0.23,0.15,0.0,0.03,0.41,Muy Alto
From Russia With Love,PS2,2005.0,Action,Electronic Arts,0.34,0.01,0.0,0.06,0.41,Muy Alto
Fantastic Pets,X360,2011.0,Simulation,THQ,0.3,0.08,0.0,0.03,0.41,Muy Alto
BlazBlue: Continuum Shift,PS3,2010.0,Fighting,PQube,0.21,0.07,0.09,0.04,0.41,Muy Alto
Duke Nukem Forever,PC,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41,Muy Alto
Dragon Quest X,WiiU,2013.0,Role-Playing,Square Enix,0.0,0.0,0.41,0.0,0.41,Muy Alto
Minority Report: Everybody Runs,PS2,2002.0,Action,Activision,0.2,0.15,0.0,0.05,0.41,Muy Alto
Katamari Forever,PS3,2009.0,Puzzle,Namco Bandai Games,0.26,0.04,0.06,0.04,0.4,Muy Alto
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,2003.0,Misc,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4,Muy Alto
NFL GameDay 2002,PS,2001.0,Sports,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4,Muy Alto
Pengo,2600,1983.0,Adventure,Atari,0.38,0.02,0.0,0.0,0.4,Muy Alto
Spider-Man: Web of Shadows,X360,2008.0,Action,Activision,0.36,0.02,0.0,0.03,0.4,Muy Alto
Naughty Bear,X360,2010.0,Action,505 Games,0.21,0.15,0.0,0.04,0.4,Muy Alto
Mouse Trap,2600,1981.0,Action,Coleco,0.38,0.02,0.0,0.0,0.4,Muy Alto
Tak and the Power of Juju,GC,2003.0,Platform,THQ,0.31,0.08,0.0,0.01,0.4,Muy Alto
Six Flags Fun Park,Wii,2009.0,Misc,Ubisoft,0.27,0.09,0.0,0.04,0.4,Muy Alto
Just Dance Kids 2,X360,2011.0,Misc,Ubisoft,0.29,0.08,0.0,0.03,0.4,Muy Alto
Beowulf: The Game,X360,2007.0,Action,Ubisoft,0.36,0.01,0.0,0.03,0.4,Muy Alto
NBA Jam,Wii,2010.0,Sports,Electronic Arts,0.36,0.02,0.0,0.02,0.4,Muy Alto
Rune Factory 3: A Fantasy Harvest Moon,DS,2009.0,Role-Playing,Rising Star Games,0.26,0.03,0.1,0.02,0.4,Muy Alto
Dragon Quest Builders: Revive Alefgard,PS4,2016.0,Role-Playing,Square Enix,0.04,0.11,0.22,0.03,0.4,Muy Alto
Star Wars The Clone Wars: Republic Heroes,PSP,2009.0,Action,LucasArts,0.21,0.12,0.0,0.07,0.4,Muy Alto
Tales of Zestiria,PS4,2015.0,Role-Playing,Namco Bandai Games,0.17,0.15,0.02,0.06,0.4,Muy Alto
Metal Gear Solid: The Legacy Collection,PS3,2013.0,Adventure,Konami Digital Entertainment,0.31,0.01,0.03,0.06,0.4,Muy Alto
Medarot: Kabuto / Kuwagata Version,GB,1997.0,Role-Playing,Imagineer,0.0,0.0,0.4,0.0,0.4,Muy Alto
NBA 2K10,PS2,2009.0,Sports,Take-Two Interactive,0.33,0.01,0.0,0.05,0.4,Muy Alto
Defender,PS2,2002.0,Misc,Midway Games,0.2,0.15,0.0,0.05,0.4,Muy Alto
NFL GameDay 2003,PS2,2007.0,Sports,Unknown,0.2,0.15,0.0,0.05,0.4,Muy Alto
TNA iMPACT!,PS3,2008.0,Fighting,Midway Games,0.22,0.12,0.0,0.06,0.4,Muy Alto
Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,2009.0,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,Muy Alto
Congo Bongo,2600,1982.0,Action,Sega,0.37,0.02,0.0,0.0,0.4,Muy Alto
Gauntlet: Seven Sorrows,PS2,2005.0,Role-Playing,Midway Games,0.2,0.15,0.0,0.05,0.4,Muy Alto
Harry Potter: Quidditch World Cup,GC,2003.0,Sports,Electronic Arts,0.31,0.08,0.0,0.01,0.4,Muy Alto
Warriors Orochi 2 (JP sales),PS2,2008.0,Action,Tecmo Koei,0.0,0.0,0.4,0.0,0.4,Muy Alto
Cabela's Big Game Hunter 2010,PS3,2009.0,Sports,Activision Value,0.37,0.0,0.0,0.03,0.4,Muy Alto
Overlord,X360,2007.0,Strategy,Codemasters,0.34,0.03,0.01,0.03,0.4,Muy Alto
The Chronicles of Narnia: Prince Caspian,PS2,2008.0,Action,Disney Interactive Studios,0.2,0.15,0.0,0.05,0.4,Muy Alto
The Incredibles: Rise of the Underminer,GBA,2005.0,Action,THQ,0.29,0.11,0.0,0.01,0.4,Muy Alto
Life is Strange,PS4,2016.0,Adventure,Square Enix,0.15,0.15,0.03,0.06,0.4,Muy Alto
Pet in TV,PS,1997.0,Strategy,Sony Computer Entertainment,0.0,0.0,0.38,0.03,0.4,Muy Alto
Battalion Wars,GC,2005.0,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4,Muy Alto
NBA ShootOut 2000,PS,1999.0,Sports,989 Studios,0.22,0.15,0.0,0.03,0.4,Muy Alto
Power Rangers: Dino Thunder,GC,2004.0,Action,THQ,0.31,0.08,0.0,0.01,0.4,Muy Alto
Samurai Shodown,SNES,1994.0,Fighting,Takara,0.0,0.0,0.4,0.0,0.4,Muy Alto
Mass Effect Trilogy,X360,2012.0,Action,Electronic Arts,0.28,0.09,0.0,0.03,0.4,Muy Alto
The Wonderful 101,WiiU,2013.0,Action,Nintendo,0.19,0.1,0.08,0.03,0.4,Muy Alto
SpongeBob SquigglePants,Wii,2011.0,Misc,THQ,0.35,0.02,0.0,0.03,0.4,Muy Alto
Fighting Vipers,SAT,1995.0,Fighting,Sega,0.0,0.0,0.4,0.0,0.4,Muy Alto
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,2009.0,Action,Konami Digital Entertainment,0.27,0.01,0.09,0.03,0.4,Muy Alto
NCAA GameBreaker 2000,PS,1999.0,Sports,989 Studios,0.22,0.15,0.0,0.03,0.4,Muy Alto
Asura's Wrath,PS3,2012.0,Action,Capcom,0.18,0.12,0.06,0.05,0.4,Muy Alto
The Legend of Spyro: Dawn of the Dragon,PS2,2008.0,Platform,Vivendi Games,0.12,0.01,0.0,0.27,0.4,Muy Alto
AKB1/48: Idol to Guam de Koishitara...,PSP,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,Muy Alto
NFL Quarterback Club 2000,N64,1999.0,Sports,Acclaim Entertainment,0.37,0.03,0.0,0.0,0.4,Muy Alto
Mortal Kombat Mythologies: Sub-Zero,N64,1997.0,Fighting,Midway Games,0.32,0.07,0.0,0.0,0.4,Muy Alto
RR64: Ridge Racer 64,N64,1999.0,Racing,Nintendo,0.32,0.07,0.0,0.0,0.4,Muy Alto
Top Gear Rally,N64,1997.0,Racing,Kemco,0.32,0.07,0.0,0.0,0.4,Muy Alto
18 Wheeler: American Pro Trucker,PS2,2001.0,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,Muy Alto
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PSP,2009.0,Shooter,Activision,0.17,0.14,0.0,0.08,0.4,Muy Alto
Wall-E,PS3,2008.0,Platform,THQ,0.12,0.21,0.0,0.08,0.4,Muy Alto
Atari Anthology,PS2,2004.0,Misc,Atari,0.33,0.01,0.0,0.05,0.4,Muy Alto
FIFA 14,PC,2013.0,Sports,Electronic Arts,0.01,0.36,0.0,0.03,0.4,Muy Alto
Bugs Bunny: Lost in Time,PS,1999.0,Platform,Infogrames,0.22,0.15,0.0,0.03,0.4,Muy Alto
Hot Wheels: Beat That!,PS2,2007.0,Racing,Activision,0.2,0.15,0.0,0.05,0.4,Muy Alto
MLB 2006,PS2,2005.0,Sports,Sony Computer Entertainment,0.33,0.01,0.0,0.05,0.4,Muy Alto
Ragnarok Odyssey,PSV,2012.0,Role-Playing,GungHo,0.2,0.01,0.16,0.03,0.4,Muy Alto
Brunswick Pro Bowling,PS2,2007.0,Sports,505 Games,0.2,0.15,0.0,0.05,0.4,Muy Alto
The Gunstringer,X360,2011.0,Shooter,Microsoft Game Studios,0.26,0.1,0.0,0.04,0.4,Muy Alto
Rocket Power: Dream Scheme,GBA,2001.0,Action,THQ,0.29,0.11,0.0,0.01,0.4,Muy Alto
Marvel: Ultimate Alliance,Wii,2006.0,Role-Playing,Activision,0.36,0.0,0.0,0.03,0.4,Muy Alto
LEGO Harry Potter: Years 5-7,3DS,2007.0,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.03,0.4,Muy Alto
My Virtual Tutor: Reading Adventure First to Second Grade,DS,2009.0,Misc,Mentor Interactive,0.37,0.0,0.0,0.03,0.4,Muy Alto
MX vs. ATV Unleashed,XB,2005.0,Racing,THQ,0.32,0.07,0.0,0.01,0.4,Muy Alto
FIFA Soccer 13,PC,2012.0,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.4,Muy Alto
Rampage: Total Destruction,GC,2006.0,Action,Midway Games,0.31,0.08,0.0,0.01,0.4,Muy Alto
Style Lab: Makeover,DS,2009.0,Simulation,Ubisoft,0.34,0.03,0.0,0.03,0.4,Muy Alto
The Urbz: Sims in the City,GC,2004.0,Simulation,Electronic Arts,0.24,0.14,0.0,0.02,0.4,Muy Alto
Road Rash: Jailbreak,PS,1999.0,Racing,Electronic Arts,0.22,0.15,0.0,0.03,0.4,Muy Alto
Disney Sing It! High School Musical 3: Senior Year,PS3,2008.0,Misc,Disney Interactive Studios,0.08,0.26,0.0,0.06,0.4,Muy Alto
Mother 3,GBA,2006.0,Role-Playing,Nintendo,0.0,0.0,0.39,0.01,0.4,Muy Alto
Nicktoons: Freeze Frame Frenzy,GBA,2004.0,Action,THQ,0.29,0.11,0.0,0.01,0.4,Muy Alto
Monster Trucks Mayhem,Wii,2009.0,Racing,Zoo Games,0.38,0.0,0.0,0.02,0.4,Muy Alto
You Don't Know Jack,PS,1999.0,Misc,Vivendi Games,0.22,0.15,0.0,0.03,0.4,Muy Alto
Rapala Pro Bass Fishing 2010,X360,2010.0,Sports,Activision,0.32,0.05,0.0,0.03,0.4,Muy Alto
WWE SmackDown! vs. RAW 2006,PSP,2005.0,Fighting,THQ,0.36,0.0,0.0,0.03,0.4,Muy Alto
Mafia II,PC,2010.0,Action,Take-Two Interactive,0.17,0.17,0.0,0.05,0.4,Muy Alto
Avatar: The Game,DS,2009.0,Action,Ubisoft,0.18,0.18,0.0,0.04,0.4,Muy Alto
Mystery Dungeon: Shiren the Wanderer,SNES,1995.0,Role-Playing,ChunSoft,0.0,0.0,0.4,0.0,0.4,Muy Alto
Pro Evolution Soccer 2016,PS3,2015.0,Sports,Konami Digital Entertainment,0.09,0.12,0.15,0.04,0.4,Muy Alto
Star Wars: Clone Wars,GC,2002.0,Shooter,Activision,0.31,0.08,0.0,0.01,0.4,Muy Alto
NBA Live 2002,XB,2001.0,Sports,Electronic Arts,0.35,0.03,0.0,0.02,0.4,Muy Alto
Sega Superstars Tennis,PS3,2008.0,Sports,Sega,0.13,0.2,0.0,0.07,0.4,Muy Alto
Spore Hero,Wii,2009.0,Simulation,Electronic Arts,0.35,0.02,0.0,0.03,0.4,Muy Alto
Winter Sports 2: The Next Challenge,Wii,2008.0,Sports,RTL,0.17,0.18,0.0,0.04,0.4,Muy Alto
Boku no Natsuyasumi,PS,2000.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.37,0.03,0.4,Muy Alto
I-Ninja,PS2,2003.0,Platform,Sony Computer Entertainment,0.19,0.15,0.0,0.05,0.4,Muy Alto
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007.0,Action,Activision,0.32,0.03,0.01,0.04,0.4,Muy Alto
Moshi Monsters: Moshlings Theme Park,DS,2012.0,Misc,Activision,0.03,0.33,0.0,0.04,0.4,Muy Alto
Ghostbusters: The Video Game,DS,2009.0,Action,Atari,0.24,0.12,0.0,0.04,0.4,Muy Alto
Command & Conquer,PS,1996.0,Strategy,Virgin Interactive,0.22,0.15,0.0,0.03,0.4,Muy Alto
Harvest Moon: Save the Homeland,PS2,2007.0,Simulation,Unknown,0.19,0.15,0.0,0.05,0.4,Muy Alto
SD Gundam G Generation Seed,PS2,2004.0,Strategy,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,Muy Alto
Call of Duty: Finest Hour,GC,2004.0,Shooter,Activision,0.31,0.08,0.0,0.01,0.4,Muy Alto
Naruto: Path of the Ninja,DS,2007.0,Role-Playing,D3Publisher,0.37,0.0,0.0,0.03,0.4,Muy Alto
Tales of Phantasia,SNES,1995.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,Muy Alto
Speed Racer: The Videogame,Wii,2008.0,Racing,Warner Bros. Interactive Entertainment,0.35,0.02,0.0,0.03,0.4,Muy Alto
Castlevania: Portrait of Ruin,DS,2006.0,Platform,Konami Digital Entertainment,0.31,0.02,0.04,0.03,0.4,Muy Alto
Suzuki TT Superbikes,PS2,2005.0,Racing,Jester Interactive,0.33,0.01,0.0,0.05,0.4,Muy Alto
Rumble Roses,PS2,2004.0,Fighting,Konami Digital Entertainment,0.19,0.15,0.0,0.05,0.39,Muy Alto
Disney Infinity 3.0,X360,2015.0,Action,Disney Interactive Studios,0.21,0.15,0.0,0.03,0.39,Muy Alto
Tomb Raider: Anniversary,X360,2007.0,Action,Eidos Interactive,0.12,0.22,0.0,0.05,0.39,Muy Alto
Sherlock Holmes: The Mystery of the Mummy,DS,2009.0,Adventure,Focus Home Interactive,0.06,0.3,0.0,0.04,0.39,Muy Alto
Fantastic Four: Rise of the Silver Surfer,PS2,2007.0,Action,Take-Two Interactive,0.19,0.15,0.0,0.05,0.39,Muy Alto
Ultimate Spider-Man,XB,2005.0,Action,Activision,0.26,0.11,0.0,0.02,0.39,Muy Alto
Littlest Pet Shop,Wii,2008.0,Simulation,Electronic Arts,0.33,0.03,0.0,0.03,0.39,Muy Alto
Juiced 2: Hot Import Nights,PS2,2007.0,Racing,THQ,0.19,0.15,0.01,0.05,0.39,Muy Alto
Star Wars The Clone Wars: Republic Heroes,DS,2009.0,Action,LucasArts,0.22,0.14,0.0,0.04,0.39,Muy Alto
NHL 99,N64,1998.0,Sports,Electronic Arts,0.38,0.01,0.0,0.0,0.39,Muy Alto
LEGO The Lord of the Rings,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.2,0.16,0.0,0.03,0.39,Muy Alto
Danball Senki,PSP,2011.0,Role-Playing,Level 5,0.0,0.0,0.39,0.0,0.39,Muy Alto
No More Heroes 2: Desperate Struggle,Wii,2010.0,Action,Rising Star Games,0.2,0.11,0.04,0.03,0.39,Muy Alto
NASCAR Heat,PS,2000.0,Racing,Hasbro Interactive,0.22,0.15,0.0,0.03,0.39,Muy Alto
Planet 51,DS,2009.0,Action,Sega,0.22,0.14,0.0,0.04,0.39,Muy Alto
Bloody Roar,PS,1997.0,Fighting,Virgin Interactive,0.22,0.15,0.0,0.03,0.39,Muy Alto
Bump 'n' Jump,2600,1982.0,Racing,Mattel Interactive,0.37,0.02,0.0,0.0,0.39,Muy Alto
Mobile Suit Gundam: Lost War Chronicles,PS2,2002.0,Shooter,Namco Bandai Games,0.0,0.0,0.39,0.0,0.39,Muy Alto
Legends of WrestleMania,X360,2009.0,Fighting,THQ,0.2,0.15,0.0,0.04,0.39,Muy Alto
Fishing Resort,Wii,2011.0,Sports,Namco Bandai Games,0.14,0.0,0.25,0.01,0.39,Muy Alto
Disney's Brother Bear,GBA,2003.0,Action,THQ,0.28,0.1,0.0,0.01,0.39,Muy Alto
Armored Core V,PS3,2012.0,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.39,Muy Alto
NBA Live 09,PS2,2008.0,Sports,Electronic Arts,0.32,0.01,0.01,0.05,0.39,Muy Alto
Saints Row IV,PS4,2015.0,Action,Deep Silver,0.13,0.18,0.03,0.06,0.39,Muy Alto
Mass Effect 2,PC,2010.0,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.06,0.39,Muy Alto
Harry Potter and the Deathly Hallows - Part 1,PS3,2010.0,Action,Electronic Arts,0.13,0.2,0.0,0.07,0.39,Muy Alto
The House of The Dead III,XB,2002.0,Shooter,Sega,0.29,0.08,0.0,0.01,0.39,Muy Alto
Project X Zone,3DS,2012.0,Role-Playing,Namco Bandai Games,0.18,0.04,0.15,0.02,0.39,Muy Alto
NBA Jam,PS3,2010.0,Sports,Electronic Arts,0.22,0.12,0.0,0.06,0.39,Muy Alto
Fire Emblem: Fuuin no Tsurugi,GBA,2002.0,Role-Playing,Nintendo,0.0,0.0,0.39,0.0,0.39,Muy Alto
Dishonored,PS4,2015.0,Action,Bethesda Softworks,0.12,0.2,0.02,0.06,0.39,Muy Alto
Dark Souls III,XOne,2016.0,Role-Playing,Namco Bandai Games,0.26,0.09,0.0,0.04,0.39,Muy Alto
NBA Jam,X360,2010.0,Sports,Electronic Arts,0.27,0.09,0.0,0.03,0.39,Muy Alto
Dancing with the Stars: We Dance!,DS,2008.0,Misc,Activision,0.36,0.0,0.0,0.03,0.39,Muy Alto
NBA Live 09,PSP,2008.0,Sports,Electronic Arts,0.23,0.07,0.03,0.06,0.39,Muy Alto
Ener-G: Gym Rockets,DS,2008.0,Sports,Ubisoft,0.36,0.0,0.0,0.03,0.39,Muy Alto
Laser Blast,2600,1981.0,Action,Activision,0.37,0.02,0.0,0.0,0.39,Muy Alto
Madden NFL Football,3DS,2011.0,Sports,Electronic Arts,0.36,0.01,0.0,0.03,0.39,Muy Alto
Thrasher Presents: Skate and Destroy,PS,1998.0,Sports,Take-Two Interactive,0.22,0.15,0.0,0.03,0.39,Muy Alto
Are You Smarter than a 5th Grader? Make the Grade,DS,2008.0,Misc,THQ,0.36,0.0,0.0,0.03,0.39,Muy Alto
Donkey Konga 2,GC,2004.0,Misc,Nintendo,0.3,0.08,0.0,0.01,0.39,Muy Alto
SpongeBob's Truth or Square (US sales),PSP,2009.0,Action,THQ,0.39,0.0,0.0,0.0,0.39,Muy Alto
Tear Ring Saga Yutona Eiyuu Senki,PS,2001.0,Role-Playing,Enterbrain,0.0,0.0,0.37,0.03,0.39,Muy Alto
Transformers: Fall of Cybertron,PS3,2012.0,Action,Activision,0.19,0.14,0.0,0.06,0.39,Muy Alto
Alpha Protocol,X360,2010.0,Role-Playing,Sega,0.23,0.12,0.0,0.04,0.39,Muy Alto
Metal Gear Solid HD Edition,PSV,2012.0,Action,Konami Digital Entertainment,0.12,0.16,0.05,0.06,0.39,Muy Alto
FIFA 12,3DS,2011.0,Sports,Electronic Arts,0.08,0.26,0.0,0.05,0.39,Muy Alto
Taiko no Tatsujin Wii: Ketteiban,Wii,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.39,0.0,0.39,Muy Alto
SSX 3,XB,2003.0,Sports,Electronic Arts,0.29,0.08,0.0,0.01,0.39,Muy Alto
